Timestamp,Mode,Index,Ball_State,Ball_Pos_X,Ball_Pos_Y,Ball_Pos_Z,Hand_Pos_X,Hand_Pos_Y,Hand_Pos_Z,Shift,Cumulative_Omission
34.4206,DeviationTest,0,Hidden,0,1.028827,0.5604841,0.004036244,1.025333,0.4875842,0,NA
36.68065,DeviationTest,1,Hidden,0.25,1.028827,0.5016397,0.2207111,1.03632,0.3336536,0,NA
38.8807,DeviationTest,2,Hidden,0.25,1.028827,0.5016397,0.2407306,1.074528,0.3944446,0,NA
41.12075,DeviationTest,3,Hidden,-0.25,1.028827,0.5016397,-0.1802899,1.060001,0.3583118,0,NA
43.2408,DeviationTest,4,Hidden,-0.25,1.028827,0.5016397,-0.1704022,1.088688,0.3253528,0,NA
45.52085,DeviationTest,5,Hidden,0,1.028827,0.5604841,0.01282531,1.073551,0.4531604,0,NA
52.52101,PrismAdaptation,0,Caught,-0.3278673,0.9740974,0.5041247,-0.2901532,1.012516,0.4514514,0,0
55.18107,PrismAdaptation,1,Caught,0.3434397,0.8936478,0.5948552,0.3049396,0.8819008,0.5337268,0,0
57.76113,PrismAdaptation,2,Caught,0.2241246,0.9378678,0.5423363,0.2276691,0.9060707,0.5394641,0,0
60.48119,PrismAdaptation,3,Caught,0.1683508,1.000876,0.6802916,0.1475909,0.9721107,0.6106311,0,0
63.26126,PrismAdaptation,4,Caught,0.1021419,0.9455006,0.613975,0.1070636,0.9611244,0.5714465,0,0
65.88096,PrismAdaptation,5,Caught,0.2074881,1.185337,0.586166,0.2620929,1.110661,0.5321399,0,0
68.44053,PrismAdaptation,6,Caught,-0.1485499,0.9584932,0.7069015,-0.1757733,0.9685707,0.6042835,0,0
71.20007,PrismAdaptation,7,Caught,-0.04166605,0.8469446,0.7116894,-0.06481141,0.8446693,0.6440784,0,0
73.85962,PrismAdaptation,8,Caught,0.2720173,0.8946413,0.621132,0.25367,0.856144,0.5309192,0,0
76.53917,PrismAdaptation,9,Caught,-0.1775301,1.177274,0.6005819,-0.1307294,1.123966,0.5421497,0,0
79.27871,PrismAdaptation,10,Caught,0.1514809,1.133752,0.6239442,0.1536945,1.093449,0.5272571,0,0
81.7183,PrismAdaptation,11,Caught,-0.1845511,1.105709,0.5384685,-0.1652753,1.052799,0.4534045,0,0
84.21788,PrismAdaptation,12,Caught,-0.3954809,0.8925397,0.4779555,-0.3298261,0.8783607,0.4227649,0,0
86.79745,PrismAdaptation,13,Caught,-0.1851965,0.8752744,0.6331587,-0.2048261,0.8883705,0.5349475,0,0
89.35702,PrismAdaptation,14,Caught,0.2272007,0.943222,0.6242287,0.2135089,0.9535561,0.5372669,0,0
91.93658,PrismAdaptation,15,Caught,0.1386134,1.100847,0.565228,0.1243976,1.033268,0.527135,0,0
94.33618,PrismAdaptation,16,Caught,-0.2517156,1.129562,0.4462375,-0.2202069,1.094059,0.4366809,0,0
96.93575,PrismAdaptation,17,Caught,-0.3757127,1.115954,0.3531384,-0.3452069,1.008854,0.3520862,0,0
99.33534,PrismAdaptation,18,Caught,-0.05272267,1.06913,0.6427786,-0.09069031,1.075382,0.5455676,0,0
101.8949,PrismAdaptation,19,Caught,-0.0002150128,0.9401487,0.5971261,0.009163197,0.93256,0.5536243,0,0
104.2345,PrismAdaptation,20,Caught,-0.05360438,0.9458519,0.6592151,-0.06786317,0.9461098,0.5859729,0,0
106.7741,PrismAdaptation,21,Caught,0.2521979,1.077872,0.599513,0.2697833,1.03754,0.5282336,0,0
109.1737,PrismAdaptation,22,Caught,-0.279591,1.157553,0.5078293,-0.2407147,1.131901,0.4598743,0,0
111.8332,PrismAdaptation,23,Caught,0.0579868,1.079085,0.6531607,0.03870421,1.048283,0.5871936,0,0
114.3128,PrismAdaptation,24,Caught,-0.4318762,1.130108,0.3172018,-0.3830487,1.080021,0.3243762,0,0
116.8324,PrismAdaptation,25,Caught,-0.204192,1.105981,0.5299631,-0.166618,1.067936,0.4878284,0,0
119.192,PrismAdaptation,26,Caught,0.5052218,0.892269,0.4451938,0.4962237,0.8792152,0.3717395,0,0
121.7116,PrismAdaptation,27,Caught,-0.4475693,1.130715,0.3584488,-0.4197919,1.083195,0.3451282,0,0
124.1512,PrismAdaptation,28,Caught,0.1533655,1.177264,0.6418392,0.1547931,1.13715,0.5528919,0,0
126.8307,PrismAdaptation,29,Caught,-0.03674944,1.011932,0.6959625,-0.03014344,0.963932,0.6686145,0,0
129.5709,PrismAdaptation,30,Caught,0.1002362,0.9613609,0.5316324,0.1738361,0.8967934,0.5290881,0,0
132.0714,PrismAdaptation,31,Caught,0.2940337,1.130942,0.4469178,0.34034,1.092594,0.408971,0,0
134.4319,PrismAdaptation,32,Caught,0.4745127,0.9406497,0.3831724,0.512215,0.8853188,0.3542835,0,0
136.8524,PrismAdaptation,33,Caught,0.4737519,1.01003,0.5031245,0.4347003,0.9805336,0.4366809,0,0
139.413,PrismAdaptation,34,Caught,0.04619318,1.106117,0.5567484,0.06958801,1.070255,0.4997913,0,0
141.8335,PrismAdaptation,35,Caught,0.2323832,0.8964261,0.4921216,0.2406085,0.8849525,0.4748889,0,0
144.354,PrismAdaptation,36,Caught,-0.2092804,0.9907728,0.6351283,-0.2420575,0.9386635,0.5677844,0,0
146.8946,PrismAdaptation,37,Caught,-0.1775361,0.9886661,0.6005591,-0.1798016,0.9452553,0.5060169,0,0
149.4151,PrismAdaptation,38,Caught,0.1710275,1.10993,0.5210638,0.149422,1.056828,0.4885608,0,0
151.9756,PrismAdaptation,39,Caught,-0.1646895,1.011678,0.6215035,-0.1702802,0.9818764,0.563512,0,0
158.9571,DeviationTest,0,Hidden,-0.25,1.028827,0.5016397,-0.2313153,1.065983,0.3574573,0,NA
161.0776,DeviationTest,1,Hidden,0.25,1.028827,0.5016397,0.2370685,1.037174,0.4123889,0,NA
163.178,DeviationTest,2,Hidden,0.25,1.028827,0.5016397,0.2236407,1.035954,0.4083606,0,NA
165.3985,DeviationTest,3,Hidden,-0.25,1.028827,0.5016397,-0.2392499,1.041569,0.3828479,0,NA
