Timestamp,Mode,Index,Ball_State,Ball_Pos_X,Ball_Pos_Y,Ball_Pos_Z,Hand_Pos_X,Hand_Pos_Y,Hand_Pos_Z,Shift,Cumulative_Omission
55.68108,DeviationTest,0,Hidden,0,1.031037,0.4442098,0.02311592,1.039494,0.4732317,0,NA
57.78113,DeviationTest,1,Hidden,0.25,1.031037,0.3442098,0.3257282,1.003605,0.3925433,0,NA
59.74118,DeviationTest,2,Hidden,0.25,1.031037,0.3442098,0.2964314,1.01569,0.3800921,0,NA
61.54122,DeviationTest,3,Hidden,0,1.031037,0.4442098,-0.001908496,1.066959,0.3380999,0,NA
71.73997,DeviationTest,4,Hidden,-0.25,1.031037,0.3442098,-0.2704632,1.006535,0.3040423,0,NA
74.05959,DeviationTest,5,Hidden,-0.25,1.031037,0.3442098,-0.2104046,1.048405,0.2624163,0,NA
81.19839,PrismAdaptation,0,Caught,-0.03713499,0.9158139,0.5293896,0.02873115,0.9387856,0.4917864,0,0
83.69797,PrismAdaptation,1,Caught,-0.4019795,0.9376782,0.3188437,-0.3416302,0.9910316,0.3466448,0,0
86.15755,PrismAdaptation,2,Caught,0.02932161,1.167572,0.5847309,-0.001542285,1.151066,0.508388,0,0
88.67713,PrismAdaptation,3,Caught,-0.1292315,0.8790504,0.6634028,-0.1203167,0.9035072,0.5758929,0,0
91.29669,PrismAdaptation,4,Caught,0.05551677,1.175517,0.5852838,0.02787666,1.170719,0.50497,0,0
93.85626,PrismAdaptation,5,Caught,0.1410721,1.093892,0.6019539,0.1283405,1.044743,0.5597796,0,0
96.41583,PrismAdaptation,6,Caught,-0.1667684,0.9004806,0.6145641,-0.1443646,0.8695717,0.5384173,0,0
98.95541,PrismAdaptation,7,Caught,0.06240884,1.080651,0.6407955,0.05558662,1.058537,0.5870013,0,0
101.535,PrismAdaptation,8,Caught,0.3184697,1.025864,0.5619178,0.2759236,1.047184,0.5335345,0,0
104.0546,PrismAdaptation,9,Caught,-0.07515441,1.093155,0.5861893,-0.110429,1.050968,0.562221,0,0
106.6741,PrismAdaptation,10,Caught,0.1123874,0.9453096,0.6373802,0.1089313,0.9606361,0.5352435,0,0
109.2937,PrismAdaptation,11,Caught,0.1293644,1.133291,0.5782329,0.1339558,1.080387,0.4988665,0,0
111.8932,PrismAdaptation,12,Caught,-0.2205031,1.078451,0.5290573,-0.1635296,1.049015,0.4724993,0,0
114.4528,PrismAdaptation,13,Caught,-0.3989494,0.9071397,0.4306406,-0.3966839,0.9058266,0.3959612,0,0
116.9724,PrismAdaptation,14,Caught,-0.2544826,0.8854364,0.5884615,-0.2467815,0.9016762,0.5590472,0,0
119.7319,PrismAdaptation,15,Caught,0.408959,0.9506097,0.5131211,0.410445,0.948185,0.4764056,0,0
122.2915,PrismAdaptation,16,Caught,-0.198299,1.051279,0.5982094,-0.2370159,1.054874,0.5402483,0,0
124.7711,PrismAdaptation,17,Caught,-0.4648598,0.9954974,0.4310259,-0.4234173,1.00629,0.3962054,0,0
127.3106,PrismAdaptation,18,Caught,0.364656,1.007781,0.5901412,0.3368366,1.001041,0.5159563,0,0
129.8709,PrismAdaptation,19,Caught,0.3751021,1.175444,0.5034832,0.361739,1.120304,0.4784808,0,0
132.3114,PrismAdaptation,20,Caught,0.2740035,0.9475507,0.6186699,0.2288044,0.9004555,0.5401263,0,0
